,0
0,-2.5789263
1,-1.180349
2,-2.529271
3,-2.6200469
4,-1.2334988
5,-1.8292027
6,-2.176
7,-1.4212545
8,-1.6839752
9,-2.053902
10,-1.6894786
11,0.20668599
12,-0.28059822
13,-2.4469428
14,-3.5781376
15,-5.5551367
16,-3.1779249
17,-2.1834567
18,-2.7636766
19,-2.9883313
20,-3.7953835
21,-2.757066
22,-4.238116
23,-2.153163
24,-2.5591257
25,-2.6433876
26,-3.6911716
27,-4.483534
28,-7.568361
29,-6.837255
30,-6.0689387
31,-5.298277
32,-5.972236
33,-3.4963117
34,-3.090476
35,-2.643487
36,-2.2035227
37,-2.087192
38,-1.836465
39,-2.4609387
40,-1.6860923
41,-3.1263359
42,-2.037865
43,-1.5966141
44,-2.7699971
45,-2.6659124
46,-2.7277007
47,-3.876922
48,-4.813482
49,-1.9812118
50,-2.0350604
51,-1.5621767
52,-1.9881709
53,-2.6099265
54,-4.0356736
55,-2.254003
56,-1.4425191
57,-0.9998998
58,-2.3854132
59,-1.977032
60,0.0684808
61,-0.9480531
62,-1.7645984
63,-4.5656223
64,-3.560646
65,-1.6903865
66,-3.326417
67,-2.788531
68,-2.216136
69,-3.1809556
70,-1.9485111
71,-2.1326149
72,-2.1479108
73,-2.6724782
74,-3.1138902
75,-3.8554244
76,-4.66206
77,-5.832533
78,-3.8383317
79,-4.744417
80,-4.8923755
81,-4.222852
82,-3.329084
83,-4.4186144
84,-4.612214
85,-5.2051306
86,-3.5929236
87,-2.8360634
88,-2.7190652
89,-3.223566
90,-2.64407
91,-2.9569433
92,-3.2564812
93,-2.5163267
94,-2.0204282
95,-3.677458
96,-3.482373
97,-4.720473
98,-5.323002
99,-6.2249274
100,-5.951407
101,-6.5199547
102,-5.6495776
103,-4.2707906
104,-5.5379324
105,-2.7925756
106,-3.2746377
107,-3.4036446
108,-2.8752809
109,-3.2229557
110,-4.2986474
111,-3.4921255
112,-2.543623
113,-4.2271633
114,-2.7773519
115,-3.2183223
116,-4.000227
117,-3.4575772
118,-2.213923
119,-3.6784854
120,-3.5687964
121,-4.231076
122,-2.921649
123,-6.024666
124,-4.8069654
125,-4.6584167
126,-3.8229868
127,-3.6782727
128,-5.2643156
129,-4.7642612
130,-5.548382
131,-3.0777206
132,-4.2066526
133,-3.522492
134,-2.338392
135,-3.6559515
136,-4.518732
137,-6.0177035
138,-5.5309453
139,-4.6537504
140,-3.3494098
141,-4.448917
142,-2.4676237
143,-3.6065805
144,-5.471678
145,-5.1611843
146,-4.011071
147,-6.0740857
148,-6.2842026
149,-5.221979
150,-3.9401758
151,-4.5324574
152,-6.127327
153,-4.930656
154,-4.5489645
155,-3.1587856
156,-5.407364
157,-4.9622107
158,-4.8575225
159,-5.573664
160,-3.2097607
161,-3.8845606
162,-4.384296
163,-2.4841766
164,-2.9438682
165,-3.396887
166,-2.6941419
167,-1.3737462
168,-0.50217
169,-1.8623247
170,-3.848801
171,-5.3962755
172,-4.4473906
173,-2.1402307
174,-2.5112076
175,-2.633112
176,-2.6560545
177,-2.5099337
178,-2.4284408
179,-2.6257687
180,-2.4839125
181,-1.2948745
182,-2.255815
183,-1.9148794
184,-2.3048196
185,-2.357024
186,-4.6242456
187,-4.350633
188,-2.098277
189,-4.264662
190,-6.671842
191,-6.4964
192,-7.6388297
193,-5.7449746
194,-5.719477
195,-6.946073
196,-5.103892
197,-4.506505
198,-6.8199396
199,-5.3487325
200,-5.369409
201,-3.9562843
202,-4.4970493
203,-3.9286668
204,-4.002507
205,-1.2663196
206,-2.3360069
207,-2.5277953
208,-2.1460984
209,-2.9789712
210,-2.5457346
211,-1.8317877
212,-2.4040031
213,-1.3725649
214,-1.9729567
215,-2.6056147
216,-1.8271874
217,-2.5308945
218,-1.3882095
219,-0.07782608
220,-2.0190032
221,-2.0585318
222,-2.3723388
223,-1.141888
224,-0.13553111
225,-1.36932
226,-1.0486052
227,-2.7551813
228,-2.161153
229,-2.609838
230,-5.3048553
231,-2.252307
232,-2.0509467
233,-0.8882268
234,-0.70186704
235,-0.31398624
236,1.3245919
237,0.4318495
238,1.020784
239,1.3095533
240,0.938737
241,0.29485637
242,0.20226394
243,-0.19357677
244,-1.0892922
245,-0.9955621
246,-1.283442
247,-1.3899996
248,0.98667943
249,-0.42356822
250,-0.77477264
251,-0.2976424
252,0.47851923
253,1.0035561
254,1.7223879
255,1.2953552
256,1.1410884
257,1.235395
258,1.7820482
259,2.0649514
260,2.3578923
261,2.9588768
262,1.4157503
263,1.4394552
264,0.4580639
265,1.0417144
266,2.8360884
267,2.251802
268,-1.7189251
269,-3.3900084
270,-1.3260251
271,-1.5318087
272,-0.6266705
273,-1.7296078
274,-3.089558
275,-2.0861018
276,-2.9848816
277,-2.4593034
278,-3.9880545
279,-5.4066873
280,-6.345703
281,-6.316805
282,-6.418899
283,-6.4191427
284,-5.0795417
285,-4.2126646
286,-3.2272332
287,-1.6320169
288,-1.3615502
289,-1.0364057
290,-0.8974095
291,-0.13113132
292,-2.0321224
293,-3.0681775
294,-1.3161826
295,-1.8932384
296,-2.0779257
297,-3.0577645
298,-1.6340778
299,-1.2413204
300,-1.0497595
301,0.6715397
302,0.039527405
303,-1.0855521
304,-1.9731773
305,-3.1094615
306,-2.035431
307,-3.337469
308,-2.4425075
309,-2.150252
310,-0.7311137
311,-1.9942328
312,-0.38359547
313,-2.5812201
314,-0.9538069
315,-1.0424626
316,-0.6847351
317,-1.6550776
318,-4.103533
319,-2.5262187
320,-2.029502
321,-2.3112807
322,-1.9119637
323,0.17149456
324,-0.3998624
325,-0.9205788
326,0.19908725
327,-0.3367802
328,-1.9489613
329,-3.3967087
330,-2.1139724
331,0.13671681
332,0.066056445
333,2.0029476
334,1.4972062
335,2.3207405
336,3.8538651
337,6.5412636
338,6.1256313
339,5.71617
340,5.306152
341,4.1834764
342,3.136949
343,3.8186865
344,5.128594
345,4.593246
346,5.1711955
347,5.160557
348,3.425599
349,5.2295218
350,3.3399146
351,3.461876
352,2.5346053
353,-0.13586554
354,0.48794854
355,-0.19753417
356,0.8378033
357,-0.30835152
358,2.2038262
359,2.1788704
360,2.891909
361,2.7778866
362,1.1692194
363,2.082924
